(ECON 100, LEC 1, TR, 12:00PM, 1:50PM, S.M. Turab Hussain)
(ECON 100, LEC 2, MW, 10:30AM, 12:20PM, Nadia Mukhtar Sayed)
(ECON 111, TR, 5:00PM, 6:15PM, Ali Cheema/Verda Arif)
(ECON 111, F, 4:30PM, 5:20PM, Verda Arif)
(ECON 111, F, 2:30PM, 3:20PM, Verda Arif)
(ECON 111, F, 3:30PM, 4:20PM, Verda Arif)
(ECON 111, MW, 3:30PM, 4:45PM, Uzma Afzal)
(ECON 111, M, 10:00AM, 10:50AM, TBA)
(ECON 111, M, 2:00PM, 2:50PM, TBA)
(ECON 111, F, 11:00AM, 11:50AM, TBA)
(ECON 111, MW, 1:00PM, 2:15PM, Uzma Afzal)
(ECON 111, F, 10:00AM, 10:50AM, TBA)
(ECON 111, W, 3:00PM, 3:50PM, TBA)
(ECON 111, M, 12:00PM, 12:50PM, TBA)
(ECON 121, MW, 12:00PM, 1:15PM, Kashif Zaheer Malik)
(ECON 121, W, 2:00PM, 2:50PM, Anum Fatima)
(ECON 121, W, 3:00PM, 3:50PM, Anum Fatima)
(ECON 121, W, 4:00PM, 4:50PM, Anum Fatima)
(ECON 121, TR, 12:00PM, 1:15PM, Daud Ahmed Dard)
(ECON 121, M, 11:00AM, 11:50AM, TBA)
(ECON 121, F, 8:00AM, 8:50AM, TBA)
(ECON 121, F, 2:30PM, 3:20PM, TBA)
(ECON 121, MW, 4:00PM, 5:15PM, Mohammad UsmanKhan)
(ECON 121, R, 2:00PM, 2:50PM, Anum Fatima)
(ECON 121, R, 3:00PM, 3:50PM, Anum Fatima)
(ECON 121, R, 4:00PM, 4:50PM, Anum Fatima)
(ECON 211, LEC 1, MW, 8:00AM, 9:50AM, Syed Muhammad Hasan)
(ECON 211, LEC 2, MW, 10:00AM, 11:50AM, Osama Khan)
(ECON 212, LEC 1, TR, 10:00AM, 11:50AM, Mushtaq Ahmad Khan)
(ECON 221, LEC 1, MW, 12:00PM, 1:50PM, Daniyal Khan)
(ECON 221, LEC 2, TR, 12:00PM, 1:50PM, Usman Elahi)
(ECON 222, LEC 1, TR, 9:00AM, 10:50AM, Syed Zahid Ali)
(ECON 230, LEC 1, TR, 3:00PM, 4:30PM, Usman Elahi)
(ECON 230, LAB 1, W, 3:00PM, 3:50PM, Rimsha Arif)
(ECON 230, LAB 2, W, 1:00PM, 1:50PM, Rimsha Arif)
(ECON 230, LEC 2, TR, 12:00PM, 1:30PM, Rabia Khan)
(ECON 230, LAB 3, M, 12:30PM, 1:20PM, Eeman Shehzad Qureshi)
(ECON 230, LAB 4, W, 12:00PM, 12:50PM, Eeman Shehzad Qureshi)
(ECON 230, LEC 3, TR, 2:00PM, 3:30PM, Verda Arif)
(ECON 230, LAB 5, M, 2:30PM, 3:20PM, Eeman Shehzad Qureshi)
(ECON 230, LAB 6, W, 2:00PM, 2:50PM, Eeman Shehzad Qureshi)
(ECON 233, LEC 1, MW, 10:00AM, 11:50AM, Lyyla Khalid)
